Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Human papillomavirus infection	58/330	4.015898675565765E-10	9.514590708263506E-9	0	0	2.3945173808934026	51.80679576943742	IFNA5;CDKN1A;IFNA2;ITGA2B;TCIRG1;RBPJ;TBK1;CCND2;CASP8;PPP2R1B;ATP6V1E1;PRKACA;HRAS;PDGFRB;ATP6V0B;ATP6V1G2;TBP;VWF;TSC2;TSC1;TYK2;AXIN2;PPP2R5C;TUBG1;CCNA2;CCNA1;CREB1;RBL1;CCNE2;IRF3;CCNE1;TRAF3;TP53;IRF9;HDAC1;LAMA4;TCF7;PSEN1;THBS1;TERT;E2F1;HES1;IFNA21;FZD1;TCF7L1;FZD4;IFNB1;VEGFA;CDK6;APC;PPP2R2C;RHEB;CDK2;PPP2R2D;GNAS;MDM2;FAS;ATM
Hepatitis C	36/155	4.1598371442548445E-10	9.151641717360658E-9	0	0	3.1642788081216486	68.34960887405933	IFNA5;SCARB1;CDKN1A;IFNA2;TBK1;CASP8;PPP2R1B;CLDN23;E2F1;E2F2;HRAS;LDLR;IFNA21;APAF1;IFNB1;EIF2AK1;BRAF;TYK2;CFLAR;CLDN5;MAVS;CDK6;OAS1;IRF3;IFNG;PPP2R2C;TRAF3;PSME3;CLDN7;CDK2;PPP2R2D;IRF7;FAS;PPARA;TP53;IRF9
Transcriptional misregulation in cancer	40/186	5.356950062020679E-10	1.0999604127349126E-8	0	0	2.9298877852978227	62.5456509773807	CEBPA;CD40;CDKN1A;CSF2;FLT3;HDAC1;PDGFA;IGF1R;RXRB;CCND2;SIN3A;NSD2;RXRG;ELANE;MEN1;NGFR;JUP;PAX3;PAX5;MMP9;KLF3;RUNX2;PBX1;DUSP6;PML;GADD45G;DDB2;CCNA1;WT1;DDIT3;TLX1;IL2RB;MDM2;RARA;ATM;NUPR1;TCF3;TP53;MET;BIRC3
Apoptosis	34/143	6.540413240984384E-10	1.259029548889494E-8	0	0	3.239267544444656	68.50354601782276	PRF1;XIAP;CSF2RB;LMNB2;ACTG1;BBC3;PIDD1;CASP8;TNFSF10;CTSD;HRAS;CTSC;MAP3K5;NGFR;DAXX;APAF1;PARP1;DAB2IP;TNFRSF10B;TNFRSF10A;FOS;CFLAR;TUBA4A;GADD45G;MAPK10;DDIT3;BCL2;BIRC5;FAS;ATM;BIRC6;BIRC7;TP53;BIRC3
FoxO signaling pathway	32/132	1.2282751125483929E-9	2.2253454980288528E-8	0	0	3.302782594335728	67.76535380825116	CDKN1A;PRKAG3;IGF1R;CCND2;TNFSF10;S1PR1;RAG2;PCK1;HRAS;RAG1;PCK2;PLK4;IL10;USP7;CDKN2B;SMAD3;TGFB3;INSR;PLK1;BRAF;MAPK14;PRKAB1;MAPK12;KLF2;GADD45G;MAPK13;MAPK10;G6PC2;CCNG2;CDK2;MDM2;ATM
Kaposi sarcoma-associated herpesvirus infection	39/186	1.898459692146413E-9	3.248475473228307E-8	0	0	2.8566405906653776	57.3676932809057	IFNA5;CDKN1A;CSF2;IFNA2;HIF1A;PIK3R5;TBK1;CASP8;E2F1;E2F2;CCR5;HRAS;MICA;MAP2K6;IFNA21;LYN;SYK;IFNGR1;IFNB1;NFATC1;TYK2;FOS;MAPK14;MAPK12;NFATC4;MAPK13;VEGFA;MAPK10;CDK6;CREB1;IRF3;TRAF3;GNB1;GNB4;IRF7;FAS;PIK3C3;TP53;IRF9
Cytokine-cytokine receptor interaction	51/294	7.194829852152954E-9	1.1663197865595314E-7	0	0	2.363343157426458	44.31245530003679	IFNA5;IL1RN;CD40;CSF2;EDA;CSF1;EPO;IFNA2;MPL;IL5RA;PRL;IL27RA;TNFSF10;TNFRSF8;CCR5;IL13RA2;AMH;IL10;IFNGR1;IL11RA;IFNG;IL23A;CSH1;CSF2RB;IL1RL1;IL12RB1;CCL17;RELT;IFNL3;IFNA21;IL32;NGFR;IFNB1;TGFB3;OSM;BMP8B;TNFRSF10B;TNFRSF10A;EPOR;TNFRSF10D;IL4;BMP4;GH2;GH1;BMP2;IL5;LEP;IL2RB;FAS;PF4;BMPR1A
Human T-cell leukemia virus 1 infection	42/219	7.671332767958386E-9	1.1813852462655916E-7	0	0	2.612817737299839	48.82252559082926	ATF2;CD40;CDKN1A;CSF2;SRF;XIAP;ELK1;RELB;POLB;CCND2;TERT;CHEK1;E2F1;E2F2;PRKACA;HRAS;EGR1;CDKN2B;RANBP3;MAP3K1;SMAD3;TBP;CDKN2A;TGFB3;NFATC1;FOS;NFATC4;FOSL1;CCNA2;MAPK10;CCNA1;CREB1;CCNE2;CCNE1;LCK;CDC16;CDK2;IL2RB;HLA-DPB1;ATM;TCF3;TP53
Fluid shear stress and atherosclerosis	31/139	1.8700626336641006E-8	2.7427585293740144E-7	0	0	3.038441181659577	54.06817609344398	SDC4;ITGA2B;MGST1;PDGFA;ACTG1;THBD;MAPK7;HMOX1;MAP3K7;MAP2K5;MAP3K5;MAP2K6;PIAS4;DUSP1;CAV1;CYBA;FOS;MAPK14;MMP9;ASS1;MAPK12;KLF2;MAPK13;VEGFA;BMP4;MAPK10;IFNG;BCL2;SQSTM1;TP53;BMPR1A
Small cell lung cancer	24/93	3.8841125925821563E-8	5.437757629615019E-7	0	0	3.515865342357387	59.993974527984854	CDKN1A;CDKN2B;APAF1;NOS2;LAMA4;ITGA2B;XIAP;FHIT;DDB2;GADD45G;RXRB;CDK6;CCNE2;TRAF3;CCNE1;CDK2;E2F1;BCL2;RARB;E2F2;BIRC7;TP53;RXRG;BIRC3
Th17 cell differentiation	26/107	4.082537804203342E-8	5.467050624759257E-7	0	0	3.310499376098194	56.324710380941475	GATA3;HIF1A;IL27RA;RXRB;STAT6;IL12RB1;RXRG;SMAD3;IFNGR1;NFATC1;TYK2;FOS;MAPK14;MAPK12;MAPK13;IL4;MAPK10;IFNG;IL23A;IRF4;LCK;IL2RB;RARA;HLA-DPB1;PRKCQ;NFKBIB
Cushing syndrome	32/155	7.726996316599955E-8	9.916311939636608E-7	0	0	2.8126922738859097	46.060537664953934	ATF2;SCARB1;CDKN1A;FH;TCF7;LEF1;CACNA1C;CACNA1H;CYP11A1;GNA11;E2F1;E2F2;PRKACA;PDE8A;LDLR;MEN1;FZD1;TCF7L1;CDKN2B;FZD4;CDKN2A;BRAF;AXIN2;PBX1;CDK6;CREB1;CCNE2;STAR;APC;CCNE1;CDK2;GNAS
Tuberculosis	35/179	8.089689055369931E-8	9.966496916215755E-7	0	0	2.6639063522749757	43.50183168110991	IFNA5;IFNA2;BCL10;TCIRG1;MALT1;CYP27B1;CASP8;IRAK1;ITGAX;CTSD;CAMP;IFNA21;HSPA9;IL10;CD74;ATP6V0B;APAF1;SYK;NOS2;TGFB3;IFNGR1;IFNB1;MAPK14;MAPK12;MAPK13;MAPK10;CREB1;IFNG;IL23A;BCL2;TLR9;HLA-DPB1;PIK3C3;CLEC4E;TLR2
RIG-I-like receptor signaling pathway	20/70	8.379855556793207E-8	9.926905813431954E-7	0	0	3.892565200467107	63.42876631477791	IFNA5;MAP3K1;IFNB1;IFNA2;MAPK14;TANK;MAPK12;MAPK13;MAPK10;MAVS;CASP8;TBK1;IRF3;TRAF3;IRF7;TRIM25;MAP3K7;ATG5;IFNA21;NFKBIB
Bladder cancer	15/41	9.211930619205001E-8	1.0508424558204223E-6	0	0	4.984382268890808	80.7478963925829	CDKN1A;CDKN2A;BRAF;THBS1;MMP9;TYMP;VEGFA;RASSF1;CDH1;ERBB2;E2F1;MDM2;E2F2;HRAS;TP53
DNA replication	14/36	1.010085927074628E-7	1.1110945197820909E-6	0	0	5.29821374508023	85.34394620942093	FEN1;RFC3;MCM7;LIG1;POLD4;POLA1;POLA2;POLD1;POLE3;MCM3;MCM4;MCM5;MCM6;MCM2
Rap1 signaling pathway	38/206	1.1383803783601131E-7	1.209038470810051E-6	0	0	2.513161027486045	40.18164774343484	CSF1;RGS14;ITGA2B;FPR1;LPAR2;PDGFA;THBS1;ACTG1;IGF1R;FGF4;FGF7;CDH1;RALGDS;HRAS;FGF21;MAP2K6;VASP;PDGFRB;NGFR;INSR;F2R;VEGFB;BRAF;VEGFD;MAPK14;PGF;MAPK12;VEGFA;MAPK13;AFDN;MRAS;ID1;FGF18;GNAS;RAPGEF2;MET;EPHA2;PFN2
Toxoplasmosis	26/113	1.3297194200936856E-7	1.3651786046295172E-6	0	0	3.1347206481637766	49.63243230525111	CD40;LAMA4;XIAP;PIK3R5;CASP8;IRAK1;CCR5;MAP3K7;LDLR;MAP2K6;IL10;NOS2;TGFB3;IFNGR1;TYK2;MAPK14;MAPK12;MAPK13;MAPK10;IFNG;BCL2;HLA-DPB1;BIRC7;NFKBIB;BIRC3;TLR2
Melanoma	20/72	1.4016165202597365E-7	1.3925738330322542E-6	0	0	3.784438389343021	59.720214286681795	PDGFRB;CDKN1A;CDKN2A;PDGFA;BRAF;IGF1R;FGF4;DDB2;GADD45G;FGF7;CDK6;CDH1;FGF18;E2F1;MDM2;E2F2;HRAS;TP53;MET;FGF21
Insulin signaling pathway	29/137	1.769706214002972E-7	1.7033422309778605E-6	0	0	2.8839077945066527	44.836928028521626	INPPL1;PYGL;ELK1;PRKAG3;HK1;SOCS2;RPTOR;MKNK1;FLOT2;PRKACA;PCK1;HRAS;PCK2;SREBF1;PTPN1;PKLR;INSR;TSC2;TSC1;BRAF;PRKAB1;GCK;MAPK10;G6PC2;PPP1R3C;RHEB;EIF4E2;FBP1;FBP2
Chagas disease (American trypanosomiasis)	24/103	3.1155526767453607E-7	2.9078491649623365E-6	0	0	3.174519192613952	47.559659554425785	IL10;SMAD3;ACE;NOS2;TGFB3;IFNGR1;IFNB1;FOS;CFLAR;MAPK14;MAPK12;MAPK13;MAPK10;CASP8;PPP2R1B;IRAK1;IFNG;PPP2R2C;GNA11;PPP2R2D;GNAS;TLR9;FAS;TLR2
Colorectal cancer	21/86	7.372949478850412E-7	6.679024822017432E-6	0	0	3.3267853748178187	46.97513375377277	CDKN1A;TCF7L1;SMAD3;TGFB3;LEF1;TCF7;BRAF;AXIN2;FOS;AREG;BBC3;DDB2;GADD45G;MAPK10;MSH2;APC;BCL2;BIRC5;HRAS;TP53;RALGDS
Influenza A	32/171	8.014421478540731E-7	7.052690901115844E-6	0	0	2.549516388610035	35.787186888722125	IFNA5;ATF2;IFNA2;ACTG1;TBK1;TNFSF10;CASP1;TRIM25;MAP2K6;IFNA21;IVNS1ABP;IFNGR1;IFNB1;EIF2AK1;TNFRSF10B;TNFRSF10A;TYK2;MAPK14;PML;MAPK12;MAPK13;MAPK10;MAVS;HNRNPUL1;OAS1;IRF3;IFNG;IRF7;HLA-DPB1;FAS;IRF9;NFKBIB
Breast cancer	29/147	8.421535480675439E-7	7.205091466800098E-6	0	0	2.687723590798717	37.5940055300312	CDKN1A;TCF7;LEF1;BRCA1;BRCA2;IGF1R;FGF4;FGF7;ERBB2;E2F1;E2F2;HES1;HRAS;FGF21;FZD1;JAG2;NCOA1;TCF7L1;FZD4;NCOA3;BRAF;AXIN2;FOS;GADD45G;DDB2;CDK6;APC;FGF18;TP53
NF-kappa B signaling pathway	22/95	1.0711929325935344E-6	8.916957384832664E-6	0	0	3.1550265309049186	43.37132196836145	PIAS4;LYN;CD40;SYK;CSNK2A1;PARP1;XIAP;BCL10;CFLAR;MALT1;RELB;PIDD1;IRAK1;TRAF3;LCK;BCL2;TRIM25;PRKCQ;ATM;MAP3K7;CARD11;BIRC3
Thyroid cancer	13/37	1.1424437760799943E-6	9.259807448227321E-6	0	0	4.786803151925768	65.49467267363856	CDKN1A;TCF7L1;TCF7;LEF1;BRAF;GADD45G;DDB2;RXRB;CDH1;CCDC6;HRAS;RXRG;TP53
Malaria	15/49	1.3070418256540303E-6	1.0322279033370291E-5	0	0	4.170605571929044	56.50229712465398	IL10;CD40;LRP1;GYPC;TGFB3;HBB;HBA2;HBA1;THBS1;SELP;KLRK1;IFNG;TLR9;MET;TLR2
Proteoglycans in cancer	35/201	1.4551244756548513E-6	1.1204458462542356E-5	0	0	2.372334512722491	31.885170121820224	CD63;CDKN1A;SDC4;IHH;TWIST1;ELK1;HIF1A;THBS1;ACTG1;IGF1R;SHH;ERBB2;TIMP3;PRKACA;HRAS;FZD1;FZD4;CAV1;MSN;BRAF;MAPK14;MMP9;MAPK12;VEGFA;MAPK13;MRAS;CTTN;MDM2;FAS;PTPN6;HPSE;TP53;MET;CD44;TLR2
Prostate cancer	22/97	1.5592635219143703E-6	1.1713491823161612E-5	0	0	3.089974437484199	41.31696577001085	PDGFRB;CDKN1A;TCF7L1;TCF7;LEF1;PDGFA;KLK3;BRAF;MMP9;IGF1R;CREB1;CCNE2;CCNE1;CDK2;ERBB2;MDM2;BCL2;E2F1;E2F2;TP53;HRAS;NKX3-1
Hepatocellular carcinoma	31/168	1.6186577564348482E-6	1.187015688052222E-5	0	0	2.513948358635007	33.52076944859259	CDKN1A;SMARCB1;TCF7;LEF1;MGST1;ELK1;ACTG1;IGF1R;TERT;E2F1;HMOX1;E2F2;BRD7;HRAS;FZD1;TCF7L1;SMAD3;PHF10;TGFB3;FZD4;CDKN2A;TXNRD1;BRAF;AXIN2;SMARCA4;GADD45G;DDB2;CDK6;APC;TP53;MET
TGF-beta signaling pathway	21/90	1.6408971194268015E-6	1.1753402622871045E-5	0	0	3.178928247048138	42.344174428498555	CDKN2B;SMAD3;TGFB3;FST;BMP8B;THBS1;SMAD7;BMP4;BMP2;RBL1;ZFYVE16;TFDP1;PPP2R1B;IFNG;ID1;E2F4;AMH;NBL1;HAMP;SKP1;BMPR1A
Fructose and mannose metabolism	12/33	1.941006665575618E-6	1.3587046659029326E-5	0	0	4.954173891503592	65.15880019662981	PFKFB1;PFKFB4;PFKFB3;AKR1B10;FPGT;PMM2;AKR1B1;ALDOC;FBP1;FBP2;KHK;HK1
NOD-like receptor signaling pathway	32/178	1.9940736460105655E-6	1.3648326288250093E-5	0	0	2.4492545081590786	32.14727600844983	IFNA5;IFNA2;XIAP;NOD1;NLRC4;MEFV;TANK;TBK1;CASP8;CASP1;MAP3K7;CAMP;ATG5;IFNA21;GBP3;IFNB1;CYBA;TYK2;MAPK14;MAPK12;MAPK13;MAPK10;MAVS;OAS1;IRF3;TRAF3;TRIP6;BCL2;IRF7;IRF9;NFKBIB;BIRC3
Th1 and Th2 cell differentiation	21/92	2.3987341055274796E-6	1.606108922831443E-5	0	0	3.109821111242743	40.242855960739774	JAG2;IFNGR1;NFATC1;TYK2;FOS;GATA3;RBPJ;MAPK14;MAPK12;MAPK13;IL4;MAPK10;IL5;IFNG;LCK;IL2RB;HLA-DPB1;PRKCQ;STAT6;IL12RB1;NFKBIB
Human cytomegalovirus infection	37/225	3.0289165550841857E-6	1.984907019076445E-5	0	0	2.2403875264910686	28.46928890546602	IFNA5;ATF2;CDKN1A;IFNA2;ELK1;TBK1;CASP8;GNA11;E2F1;E2F2;PTK2B;PRKACA;CCR5;HRAS;MAP2K6;IFNA21;PDIA3;CDKN2A;IFNB1;TSC2;NFATC1;TSC1;MAPK14;MAPK12;NFATC4;VEGFA;MAPK13;CDK6;CREB1;IRF3;RHEB;GNB1;GNAS;GNB4;MDM2;FAS;TP53
Viral carcinogenesis	34/201	3.980398539741914E-6	2.5540890630010618E-5	0	0	2.3045535266447055	28.65511493447605	ATF2;CDKN1A;HDAC1;GTF2B;SRF;RBPJ;POLB;CCND2;CASP8;CHEK1;PRKACA;CCR5;HRAS;LYN;CDKN2B;USP7;TBP;SYK;CDKN2A;DDB1;CCNA2;CCNA1;CDK6;CREB1;RBL1;CCNE2;IRF3;CCNE1;TRAF3;CDK2;MDM2;IRF7;TP53;IRF9
Leishmaniasis	18/74	4.772337060362214E-6	2.9997547236562493E-5	0	0	3.313940643640916	40.6046357646361	IL10;NOS2;IFNGR1;TGFB3;CYBA;FOS;MAPK14;ELK1;MAPK12;MAPK13;IL4;IFNG;IRAK1;HLA-DPB1;PTPN6;MAP3K7;TLR2;NFKBIB
Basal cell carcinoma	16/63	8.798874649683383E-6	5.420106784204964E-5	0	0	3.460057955970762	40.2781427286894	FZD1;CDKN1A;TCF7L1;FZD4;LEF1;TCF7;AXIN2;GLI1;GLI3;DDB2;GADD45G;BMP4;SHH;BMP2;APC;TP53
T cell receptor signaling pathway	21/101	1.1421426084806717E-5	6.897645557098958E-5	0	0	2.832708338953786	32.23627609390533	IL10;CSF2;NFATC1;BCL10;FOS;MAPK14;RASGRP1;MALT1;MAPK12;MAPK13;IL4;IL5;PTPRC;IFNG;LCK;PRKCQ;PTPN6;MAP3K7;HRAS;CARD11;NFKBIB
Human immunodeficiency virus 1 infection	34/212	1.3018979297104099E-5	7.71124158366935E-5	0	0	2.1849776361112534	24.57903699390287	IFNA5;IFNA2;TBK1;CASP8;IRAK1;GNA11;CHEK1;PTK2B;CCR5;HRAS;MAP3K7;SKP1;MAP2K6;IFNA21;PDIA3;IFNB1;AP1B1;NFATC1;FOS;CDC25C;MAPK14;MAPK12;NFATC4;MAPK13;DDB1;MAPK10;WEE1;IRF3;GNB1;GNB4;BCL2;FAS;ATM;TLR2
TNF signaling pathway	22/110	1.3694275240676194E-5	7.958182592694844E-5	0	0	2.7247956403269753	30.51371301935816	ATF2;CSF2;CSF1;IFNB1;DAB2IP;FOS;CFLAR;MAPK14;MMP9;MAPK12;MAPK13;MAPK10;MMP14;CASP8;CREB1;TRAF3;BCL3;FAS;MAP3K7;MAP3K5;MAP2K6;BIRC3
Base excision repair	11/33	1.3710824200092575E-5	7.82024787708984E-5	0	0	4.541326067211625	50.85070367614486	POLB;POLD4;FEN1;LIG1;PARP1;MPG;NTHL1;POLD1;POLE3;HMGB1;UNG
Non-small cell lung cancer	16/66	1.6655744816242945E-5	9.327217097096049E-5	0	0	3.302782594335728	36.339708915993	CDKN1A;CDKN2A;BRAF;FHIT;DDB2;GADD45G;RXRB;RASSF1;CDK6;ERBB2;E2F1;RARB;E2F2;HRAS;TP53;RXRG
Necroptosis	28/162	1.8239284171466658E-5	1.0031606294306662E-4	0	0	2.354761664480102	25.69500108773674	IFNA5;IFNA2;VPS4A;SPATA2;XIAP;HMGB1;PYGL;CASP8;CHMP1A;TNFSF10;CASP1;STAT6;IFNA21;ZBP1;PARP1;IFNGR1;IFNB1;TNFRSF10B;TNFRSF10A;TYK2;CFLAR;MAPK10;IFNG;BCL2;FAS;SQSTM1;IRF9;BIRC3
C-type lectin receptor signaling pathway	21/104	1.830972073072696E-5	9.89367365800685E-5	0	0	2.750995598407042	30.008075807638292	IL10;SYK;NFATC1;BCL10;MAPK14;MALT1;MAPK12;NFATC4;RELB;MAPK13;MAPK10;CASP8;MRAS;IL23A;BCL3;MDM2;CASP1;CLEC4E;HRAS;CCL17;IRF9
Toll-like receptor signaling pathway	21/104	1.830972073072696E-5	9.723093077696386E-5	0	0	2.750995598407042	30.008075807638292	IFNA5;CD40;IFNB1;CD80;IFNA2;FOS;MAPK14;MAPK12;MAPK13;MAPK10;TBK1;CASP8;IRAK1;IRF3;TRAF3;TLR9;IRF7;MAP3K7;MAP2K6;IFNA21;TLR2
Pancreatic cancer	17/75	2.3639635715106968E-5	1.23406911868694E-4	0	0	3.088101725703905	32.89626851568908	CDKN1A;SMAD3;TGFB3;CDKN2A;BRAF;BRCA2;DDB2;VEGFA;GADD45G;MAPK10;CDK6;RAD51;ERBB2;E2F1;E2F2;TP53;RALGDS
