tf	es	lens	pvals	z	qvals	zq
TCF3	 0.5140	 13	0.2037	 0.679080	0.8148	0.8148
HIC1	 0.5379	 10	0.2060	 0.639370	0.8148	0.8148
HDAC1	 0.3948	 83	0.2070	 0.808755	0.8148	0.8148
ERCC2	 0.5583	  8	0.2104	 0.619444	0.8148	0.8148
RXRA	 0.3999	 72	0.2116	 0.796331	0.8148	0.8148
CEBPB	 0.3858	104	0.2132	 0.802085	0.8148	0.8148
E2F3	 0.4527	 26	0.2153	 0.760311	0.8148	0.8148
PPARD	 0.4201	 46	0.2187	 0.792701	0.8148	0.8148
KLF5	 0.4725	 20	0.2188	 0.717995	0.8148	0.8148
GATA3	 0.4259	 40	0.2216	 0.759093	0.8148	0.8148
PPARGC1A	 0.5210	 11	0.2230	 0.608372	0.8148	0.8148
NFIL3	 0.5292	 10	0.2246	 0.600872	0.8148	0.8148
NOTCH3	 0.4432	 29	0.2288	 0.725154	0.8205	0.8205
SMAD1	 0.4218	 41	0.2348	 0.726865	0.8294	0.8294
TCF4	 0.4449	 27	0.2387	 0.693658	0.8294	0.8294
SF1	 0.5039	 12	0.2412	 0.571711	0.8294	0.8294
NFKB1	 0.3494	436	0.2419	 0.701128	0.8294	0.8294
SMURF2	 0.4620	 20	0.2457	 0.644549	0.8297	0.8297
PML	 0.4532	 23	0.2492	 0.657456	0.8297	0.8297
SMAD4	 0.3892	 79	0.2517	 0.660034	0.8297	0.8297
NKX3-1	 0.4939	 13	0.2553	 0.553132	0.8297	0.8297
RBL2	 0.4772	 16	0.2553	 0.581006	0.8297	0.8297
WT1	 0.3904	 75	0.2593	 0.650218	0.8340	0.8340
NPAS2	 0.4802	 15	0.2642	 0.554199	0.8345	0.8345
KLF2	 0.5145	 10	0.2648	 0.521152	0.8345	0.8345
DNMT3A	 0.5139	 10	0.2743	 0.511079	0.8476	0.8476
TWIST2	 0.4397	 25	0.2766	 0.571798	0.8476	0.8476
KAT2B	 0.4721	 16	0.2771	 0.531496	0.8476	0.8476
SP1	 0.3419	644	0.2858	 0.558154	0.8507	0.8507
CEBPA	 0.3618	177	0.2896	 0.562231	0.8507	0.8507
PER1	 0.4604	 18	0.2898	 0.508862	0.8507	0.8507
HDAC9	 0.4453	 22	0.2918	 0.526715	0.8507	0.8507
RELA	 0.3488	363	0.2926	 0.534923	0.8507	0.8507
YY1	 0.3772	 93	0.2959	 0.521711	0.8507	0.8507
SPDEF	 0.4990	 10	0.3049	 0.454997	0.8507	0.8507
KLF8	 0.5214	  8	0.3055	 0.467322	0.8507	0.8507
FOXP3	 0.4833	 12	0.3126	 0.435154	0.8507	0.8507
EPAS1	 0.4125	 35	0.3173	 0.474876	0.8507	0.8507
SOX10	 0.4868	 11	0.3187	 0.429050	0.8507	0.8507
DDIT3	 0.4261	 26	0.3223	 0.444350	0.8507	0.8507
ETS1	 0.3553	216	0.3234	 0.462782	0.8507	0.8507
HDAC5	 0.5111	  8	0.3239	 0.431088	0.8507	0.8507
PER2	 0.4487	 18	0.3319	 0.408051	0.8507	0.8507
TBX21	 0.4600	 15	0.3346	 0.398392	0.8507	0.8507
NFYA	 0.4340	 22	0.3353	 0.410283	0.8507	0.8507
ABL1	 0.3979	 44	0.3356	 0.411454	0.8507	0.8507
SP4	 0.4679	 13	0.3360	 0.398477	0.8507	0.8507
ING1	 0.5098	  8	0.3368	 0.415884	0.8507	0.8507
NR0B2	 0.4818	 11	0.3409	 0.391137	0.8507	0.8507
TWIST1	 0.4070	 34	0.3489	 0.389866	0.8507	0.8507
ATF5	 0.5048	  8	0.3491	 0.395812	0.8507	0.8507
PTTG1	 0.4165	 29	0.3492	 0.387427	0.8507	0.8507
NEUROG3	 0.4860	 10	0.3548	 0.374397	0.8507	0.8507
ATF2	 0.3904	 51	0.3549	 0.375762	0.8507	0.8507
MEN1	 0.4777	 11	0.3561	 0.365251	0.8507	0.8507
ELK4	 0.4831	 10	0.3567	 0.367502	0.8507	0.8507
SOX4	 0.4971	  8	0.3640	 0.374638	0.8507	0.8507
USF1	 0.3611	131	0.3640	 0.352579	0.8507	0.8507
CTCF	 0.4092	 31	0.3645	 0.347847	0.8507	0.8507
LMO2	 0.4783	 10	0.3661	 0.343581	0.8507	0.8507
ESPL1	 0.4886	  9	0.3681	 0.359821	0.8507	0.8507
NCOA3	 0.4835	  9	0.3762	 0.338624	0.8552	0.8552
PAX3	 0.4929	  8	0.3822	 0.352405	0.8552	0.8552
SREBF2	 0.4274	 20	0.3825	 0.302088	0.8552	0.8552
ELF3	 0.4816	  9	0.3837	 0.333749	0.8552	0.8552
POU2F2	 0.4119	 27	0.3861	 0.289362	0.8552	0.8552
IRF1	 0.3839	 54	0.3865	 0.286557	0.8552	0.8552
SMAD3	 0.3680	 88	0.3924	 0.282930	0.8554	0.8554
NR1H3	 0.4874	  8	0.3937	 0.328574	0.8554	0.8554
HOXA1	 0.4620	 11	0.3948	 0.288265	0.8554	0.8554
EP300	 0.3644	 96	0.4004	 0.247955	0.8616	0.8616
FOS	 0.3607	109	0.4079	 0.234426	0.8717	0.8717
NRF1	 0.4383	 15	0.4152	 0.229592	0.8732	0.8732
ZBTB16	 0.4821	  8	0.4158	 0.311014	0.8732	0.8732
ZNF382	 0.4635	 10	0.4170	 0.268754	0.8732	0.8732
OTX2	 0.4494	 12	0.4198	 0.236134	0.8732	0.8732
SOX2	 0.4089	 24	0.4234	 0.191105	0.8748	0.8748
IRF4	 0.4565	 11	0.4288	 0.237640	0.8802	0.8802
SNAI2	 0.4140	 21	0.4331	 0.187159	0.8832	0.8832
ESRRA	 0.4578	 10	0.4394	 0.239274	0.8902	0.8902
NANOG	 0.4064	 23	0.4452	 0.142746	0.8904	0.8904
NR4A1	 0.4290	 15	0.4452	 0.164386	0.8904	0.8904
CEBPE	 0.4456	 11	0.4485	 0.206536	0.8911	0.8911
FLI1	 0.3755	 50	0.4531	 0.114539	0.8911	0.8911
IKBKB	 0.3829	 39	0.4545	 0.105479	0.8911	0.8911
HOXA10	 0.4247	 15	0.4621	 0.140536	0.8911	0.8911
PAX2	 0.4576	  9	0.4642	 0.218149	0.8911	0.8911
POU3F2	 0.4210	 16	0.4674	 0.132726	0.8911	0.8911
HIPK2	 0.4487	 10	0.4680	 0.183351	0.8911	0.8911
MAX	 0.4171	 17	0.4684	 0.104997	0.8911	0.8911
FOXA1	 0.4029	 22	0.4764	 0.074228	0.9008	0.9008
POU2F1	 0.3501	123	0.4867	 0.039171	0.9104	0.9104
RBL1	 0.4135	 16	0.4873	 0.076581	0.9104	0.9104
STAT3	 0.3432	201	0.4923	 0.013164	0.9143	0.9143
RBMX	 0.4513	  8	0.4999	 0.187270	0.9229	0.9229
TP63	 0.3995	 20	0.5090	 0.006164	0.9297	0.9297
VHL	 0.3963	 21	0.5130	-0.004457	0.9297	0.9297
ZFP36	 0.4326	 10	0.5186	 0.110096	0.9297	0.9297
FOXO1	 0.3756	 36	0.5204	-0.051775	0.9297	0.9297
ELK1	 0.3630	 52	0.5209	-0.064464	0.9297	0.9297
PDX1	 0.4431	  8	0.5269	 0.145434	0.9297	0.9297
E2F5	 0.4406	  8	0.5341	 0.132511	0.9297	0.9297
PPARA	 0.3477	108	0.5355	-0.092764	0.9297	0.9297
SMAD2	 0.3730	 35	0.5408	-0.089289	0.9297	0.9297
SP2	 0.4310	  9	0.5418	 0.087125	0.9297	0.9297
ELF1	 0.4246	 10	0.5422	 0.069561	0.9297	0.9297
PPARG	 0.3429	137	0.5479	-0.126473	0.9297	0.9297
SNAI1	 0.4085	 13	0.5494	-0.001673	0.9297	0.9297
HDAC7	 0.4093	 13	0.5516	-0.005518	0.9297	0.9297
EZH2	 0.3679	 39	0.5525	-0.118106	0.9297	0.9297
MBD2	 0.4356	  8	0.5538	 0.119952	0.9297	0.9297
NFYC	 0.3991	 15	0.5648	-0.055414	0.9297	0.9297
HIF1A	 0.3407	144	0.5699	-0.184775	0.9297	0.9297
LEF1	 0.3537	 62	0.5737	-0.192440	0.9297	0.9297
SPI1	 0.3425	116	0.5769	-0.202246	0.9297	0.9297
HNF4A	 0.3583	 46	0.5798	-0.208248	0.9297	0.9297
HNF1A	 0.3708	 28	0.5815	-0.196188	0.9297	0.9297
EGR2	 0.3851	 18	0.5889	-0.131915	0.9297	0.9297
NR1I2	 0.3729	 26	0.5940	-0.204190	0.9297	0.9297
SOX9	 0.3717	 25	0.5971	-0.216946	0.9297	0.9297
PITX2	 0.4001	 12	0.5985	-0.076944	0.9297	0.9297
CEBPD	 0.3616	 35	0.5987	-0.256467	0.9297	0.9297
NR3C1	 0.3611	 37	0.5993	-0.254639	0.9297	0.9297
NFATC2	 0.3670	 29	0.5997	-0.241085	0.9297	0.9297
NFATC3	 0.3850	 17	0.6015	-0.140362	0.9297	0.9297
CREM	 0.3719	 24	0.6016	-0.244396	0.9297	0.9297
BCL3	 0.4045	 10	0.6043	-0.020761	0.9297	0.9297
CREBBP	 0.3485	 61	0.6059	-0.276420	0.9297	0.9297
RFXANK	 0.3872	 15	0.6134	-0.166600	0.9297	0.9297
RFXAP	 0.3872	 15	0.6134	-0.166600	0.9297	0.9297
MEF2A	 0.4015	 10	0.6146	-0.037604	0.9297	0.9297
JUN	 0.3292	328	0.6221	-0.315931	0.9297	0.9297
FOXD3	 0.4103	  8	0.6237	 0.012582	0.9297	0.9297
FOSL2	 0.3851	 15	0.6253	-0.174536	0.9297	0.9297
ING4	 0.3849	 15	0.6257	-0.179309	0.9297	0.9297
RFX5	 0.3769	 18	0.6259	-0.252998	0.9297	0.9297
ESR1	 0.3347	149	0.6290	-0.334972	0.9297	0.9297
STAT5B	 0.3481	 53	0.6324	-0.350005	0.9297	0.9297
SMAD6	 0.3918	 10	0.6376	-0.078413	0.9297	0.9297
IRF3	 0.3637	 25	0.6383	-0.329436	0.9297	0.9297
HOXB7	 0.3860	 12	0.6420	-0.150360	0.9297	0.9297
REL	 0.3543	 37	0.6452	-0.359022	0.9297	0.9297
PITX1	 0.3774	 15	0.6485	-0.224241	0.9297	0.9297
CDX1	 0.3994	  8	0.6496	-0.034518	0.9297	0.9297
FOXA2	 0.3682	 19	0.6571	-0.312048	0.9361	0.9361
SMAD7	 0.3585	 25	0.6605	-0.376569	0.9361	0.9361
PIAS1	 0.3673	 17	0.6631	-0.292068	0.9361	0.9361
IRF7	 0.3614	 23	0.6666	-0.392635	0.9368	0.9368
GATA6	 0.3875	  9	0.6747	-0.096018	0.9399	0.9399
RELB	 0.3724	 13	0.6748	-0.227686	0.9399	0.9399
NFKB2	 0.3503	 29	0.6818	-0.450447	0.9429	0.9429
ATF3	 0.3568	 20	0.6882	-0.416202	0.9429	0.9429
SIRT1	 0.3374	 55	0.6913	-0.505697	0.9429	0.9429
HES1	 0.3820	  9	0.6921	-0.144704	0.9429	0.9429
HDAC4	 0.3528	 23	0.6925	-0.435186	0.9429	0.9429
CREB1	 0.3253	231	0.6951	-0.524768	0.9429	0.9429
MITF	 0.3414	 29	0.7136	-0.550436	0.9546	0.9546
FOSL1	 0.3671	  9	0.7249	-0.186160	0.9546	0.9546
SP3	 0.3233	160	0.7335	-0.645088	0.9546	0.9546
NFYB	 0.3492	 16	0.7393	-0.441310	0.9546	0.9546
BCL6	 0.3376	 29	0.7397	-0.628355	0.9546	0.9546
SREBF1	 0.3346	 34	0.7415	-0.642851	0.9546	0.9546
NR5A2	 0.3533	 12	0.7485	-0.340998	0.9546	0.9546
ETS2	 0.3268	 74	0.7488	-0.673253	0.9546	0.9546
SATB1	 0.3481	 15	0.7491	-0.448875	0.9546	0.9546
NFAT5	 0.3410	 18	0.7503	-0.519012	0.9546	0.9546
CUX1	 0.3609	  8	0.7505	-0.213688	0.9546	0.9546
HSF1	 0.3339	 30	0.7513	-0.651361	0.9546	0.9546
TFAP2A	 0.3198	316	0.7568	-0.701379	0.9546	0.9546
RUNX2	 0.3400	 20	0.7593	-0.599773	0.9546	0.9546
TFAP2C	 0.3513	  9	0.7639	-0.259878	0.9546	0.9546
KLF6	 0.3362	 20	0.7687	-0.602718	0.9546	0.9546
NFATC4	 0.3365	 18	0.7726	-0.563052	0.9546	0.9546
BTF3	 0.3481	  9	0.7727	-0.275018	0.9546	0.9546
IRF2	 0.3499	  8	0.7727	-0.230521	0.9546	0.9546
NFKBIA	 0.3275	 38	0.7729	-0.749849	0.9546	0.9546
EWSR1	 0.3489	 10	0.7736	-0.362478	0.9546	0.9546
NFATC1	 0.3302	 24	0.7799	-0.683989	0.9546	0.9546
POU1F1	 0.3361	 11	0.7835	-0.405460	0.9546	0.9546
HTT	 0.3332	 14	0.7925	-0.555144	0.9546	0.9546
CDX2	 0.3223	 33	0.7933	-0.818177	0.9546	0.9546
YBX1	 0.3229	 31	0.7945	-0.822428	0.9546	0.9546
PROX1	 0.3399	 10	0.7946	-0.371218	0.9546	0.9546
JUNB	 0.3291	 15	0.7947	-0.592212	0.9546	0.9546
PIAS4	 0.3292	 13	0.7955	-0.508523	0.9546	0.9546
STAT2	 0.3210	 45	0.7955	-0.828071	0.9546	0.9546
IRF8	 0.3293	 13	0.8041	-0.538813	0.9604	0.9604
JUND	 0.3187	 37	0.8065	-0.875231	0.9604	0.9604
VDR	 0.3147	 46	0.8142	-0.919062	0.9634	0.9634
NR3C2	 0.3199	 21	0.8152	-0.787083	0.9634	0.9634
RUNX3	 0.3176	 29	0.8186	-0.866720	0.9636	0.9636
TCF7L2	 0.3171	 30	0.8215	-0.899082	0.9636	0.9636
POU5F1	 0.3170	 24	0.8278	-0.854758	0.9643	0.9643
NR2F1	 0.3185	  9	0.8288	-0.400073	0.9643	0.9643
HOXA9	 0.3187	  9	0.8314	-0.424559	0.9643	0.9643
TCF7L1	 0.3135	 20	0.8370	-0.835866	0.9670	0.9670
HDAC3	 0.3112	 26	0.8440	-0.961966	0.9670	0.9670
CREB3L1	 0.3114	 10	0.8504	-0.519792	0.9670	0.9670
CTNNB1	 0.3072	 73	0.8514	-1.061458	0.9670	0.9670
MECP2	 0.3089	 11	0.8521	-0.584942	0.9670	0.9670
PIAS3	 0.3043	 14	0.8579	-0.729570	0.9670	0.9670
TBP	 0.3031	 16	0.8600	-0.756840	0.9670	0.9670
CREB5	 0.3027	 20	0.8604	-0.922887	0.9670	0.9670
STAT5A	 0.3065	 60	0.8627	-1.078223	0.9670	0.9670
ZEB1	 0.3003	 12	0.8702	-0.668558	0.9670	0.9670
RARG	 0.3018	 45	0.8740	-1.136755	0.9670	0.9670
SP100	 0.2976	 13	0.8751	-0.733446	0.9670	0.9670
TAL1	 0.2968	 11	0.8756	-0.615027	0.9670	0.9670
TCF7	 0.2980	 21	0.8800	-1.001067	0.9670	0.9670
HEY1	 0.2824	  8	0.8802	-0.505566	0.9670	0.9670
TFCP2	 0.2816	  9	0.8889	-0.582841	0.9731	0.9731
ZNF148	 0.2755	  9	0.8941	-0.611403	0.9754	0.9754
STAT6	 0.2947	 61	0.9005	-1.287966	0.9761	0.9761
PIAS2	 0.2801	 14	0.9013	-0.842040	0.9761	0.9761
AR	 0.3050	300	0.9051	-1.299210	0.9761	0.9761
RBPJL	 0.2825	 21	0.9089	-1.179417	0.9761	0.9761
RARB	 0.2907	 54	0.9122	-1.359600	0.9761	0.9761
NKX2-5	 0.2510	  9	0.9135	-0.692165	0.9761	0.9761
KLF4	 0.2838	 37	0.9217	-1.383136	0.9801	0.9801
STAT4	 0.2823	 34	0.9236	-1.403466	0.9801	0.9801
RARA	 0.2931	116	0.9288	-1.469553	0.9805	0.9805
ERG	 0.2801	 41	0.9302	-1.465410	0.9805	0.9805
CREB3L3	-0.2094	  9	0.9406	-2.846193	0.9881	0.9881
NFKBIB	 0.2439	 14	0.9483	-1.123496	0.9910	0.9910
CREB3L4	-0.2094	 10	0.9516	-3.126396	0.9910	0.9910
CREB3	-0.2094	 10	0.9545	-3.199401	0.9910	0.9910
WWP1	 0.2461	 18	0.9561	-1.380380	0.9910	0.9910
CIITA	 0.2640	 38	0.9607	-1.719656	0.9925	0.9925
IRF5	-0.2762	 10	0.9692	-3.507775	0.9970	0.9970
RBPJ	 0.2354	 25	0.9763	-1.799788	0.9970	0.9970
ATF4	 0.2593	 64	0.9774	-1.961954	0.9970	0.9970
APC	 0.2276	 23	0.9790	-1.848614	0.9970	0.9970
ETV4	 0.2613	 82	0.9810	-2.046980	0.9970	0.9970
GLI2	 0.2510	 61	0.9843	-2.128490	0.9971	0.9971
RFX1	-0.3058	 15	0.9967	-5.535340	0.9999	0.9999
PAX6	-0.2763	 19	0.9981	-6.336132	0.9999	0.9999
GLI3	 0.2159	 53	0.9985	-2.659344	0.9999	0.9999
GLI1	 0.1979	 68	0.9999	-3.245482	0.9999	0.9999
