Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Human papillomavirus infection	56/330	5.733497307382692E-12	1.6053792460671538E-10	0	0	2.7304419902971797	70.67665928371902	IFNA5;CDKN1A;IFNA2;ITGA2B;TCIRG1;RBPJ;TBK1;CCND2;CASP8;PPP2R1B;ATP6V1E1;PRKACA;HRAS;PDGFRB;ATP6V0B;ATP6V1G2;TBP;VWF;TSC2;TSC1;TYK2;AXIN2;TUBG1;CCNA2;CCNA1;CREB1;RBL1;CCNE2;IRF3;CCNE1;TRAF3;TP53;IRF9;HDAC1;LAMA4;TCF7;PSEN1;THBS1;TERT;E2F1;HES1;IFNA21;FZD1;TCF7L1;IFNB1;VEGFA;CDK6;APC;PPP2R2C;RHEB;CDK2;PPP2R2D;GNAS;MDM2;FAS;ATM
AMPK signaling pathway	31/120	6.243591776298976E-12	1.6025218892500704E-10	0	0	4.156610351300618	107.23832533025136	PFKFB1;PFKFB4;PFKFB3;PRKAG3;IGF1R;RPTOR;PPP2R1B;HNF4A;PCK1;MAP3K7;PCK2;CPT1A;INSR;TSC2;TSC1;CPT1C;PRKAB1;CPT1B;CCNA2;CCNA1;G6PC2;CREB1;PPP2R2C;RHEB;SCD;LEP;PPP2R2D;ULK1;FBP1;CFTR;FBP2
Gastric cancer	34/149	2.569114704328127E-11	6.086825607177408E-10	0	0	3.671567489349755	89.53071302029201	CDKN1A;TCF7;LEF1;FGF4;RXRB;FGF7;SHH;TERT;CDH1;ERBB2;E2F1;E2F2;HRAS;RXRG;FZD1;TCF7L1;CDKN2B;SMAD3;JUP;CDX2;TGFB3;BRAF;AXIN2;GADD45G;DDB2;CCNE2;APC;CCNE1;FGF18;CDK2;BCL2;RARB;TP53;MET
Apoptosis	33/143	3.643070477282776E-11	8.014755050022107E-10	0	0	3.7131010582338018	89.24664580412944	PRF1;XIAP;CSF2RB;LMNB2;ACTG1;BBC3;PIDD1;CASP8;TNFSF10;CTSD;HRAS;CTSC;MAP3K5;NGFR;DAXX;APAF1;PARP1;TNFRSF10B;TNFRSF10A;FOS;CFLAR;TUBA4A;GADD45G;MAPK10;DDIT3;BCL2;BIRC5;FAS;ATM;BIRC6;BIRC7;TP53;BIRC3
Kaposi sarcoma-associated herpesvirus infection	38/186	6.026381824415425E-11	1.237417067946634E-9	0	0	3.2872256680421112	77.35594515638806	IFNA5;CDKN1A;CSF2;IFNA2;HIF1A;PIK3R5;TBK1;CASP8;E2F1;E2F2;CCR5;HRAS;MICA;MAP2K6;IFNA21;LYN;SYK;IFNGR1;IFNB1;TYK2;FOS;MAPK14;MAPK12;NFATC4;MAPK13;VEGFA;MAPK10;CDK6;CREB1;IRF3;TRAF3;GNB1;GNB4;IRF7;FAS;PIK3C3;TP53;IRF9
FoxO signaling pathway	31/132	8.85020547746599E-11	1.7036645544122032E-9	0	0	3.7787366830005613	87.47017915333556	CDKN1A;PRKAG3;IGF1R;CCND2;TNFSF10;S1PR1;RAG2;PCK1;HRAS;PCK2;PLK4;IL10;USP7;CDKN2B;SMAD3;TGFB3;INSR;PLK1;BRAF;MAPK14;PRKAB1;MAPK12;KLF2;GADD45G;MAPK13;MAPK10;G6PC2;CCNG2;CDK2;MDM2;ATM
Hepatitis C	33/155	3.5235253872146557E-10	6.383798936835964E-9	0	0	3.4256351698544103	74.56370737448617	IFNA5;CDKN1A;IFNA2;TBK1;CASP8;PPP2R1B;CLDN23;E2F1;E2F2;HRAS;IFNA21;APAF1;IFNB1;BRAF;TYK2;CFLAR;CLDN5;MAVS;CDK6;OAS1;IRF3;IFNG;PPP2R2C;TRAF3;PSME3;CLDN7;CDK2;PPP2R2D;IRF7;FAS;PPARA;TP53;IRF9
Transcriptional misregulation in cancer	36/186	9.222834435335084E-10	1.5781294478240035E-8	0	0	3.114213790776737	64.78862850168643	CEBPA;CD40;CDKN1A;CSF2;FLT3;HDAC1;IGF1R;RXRB;CCND2;NSD2;RXRG;MEN1;NGFR;JUP;PAX3;PAX5;MMP9;KLF3;RUNX2;DUSP6;PML;GADD45G;DDB2;CCNA1;WT1;DDIT3;TLX1;IL2RB;MDM2;RARA;ATM;NUPR1;TCF3;TP53;MET;BIRC3
Small cell lung cancer	24/93	1.5264222293079584E-9	2.4744107717202693E-8	0	0	4.152285054368982	84.29279527517589	CDKN1A;CDKN2B;APAF1;NOS2;LAMA4;ITGA2B;XIAP;FHIT;DDB2;GADD45G;RXRB;CDK6;CCNE2;TRAF3;CCNE1;CDK2;E2F1;BCL2;RARB;E2F2;BIRC7;TP53;RXRG;BIRC3
Cytokine-cytokine receptor interaction	47/294	2.2063059740393897E-9	3.3977112000206606E-8	0	0	2.572227603833167	51.26950227780441	IFNA5;IL1RN;CD40;CSF2;EDA;CSF1;EPO;CSH1;IFNA2;MPL;CSF2RB;PRL;IL1RL1;TNFSF10;TNFRSF8;CCR5;IL12RB1;IL13RA2;AMH;CCL17;RELT;IFNL3;IFNA21;IL10;IL32;NGFR;IFNGR1;IFNB1;IL11RA;TGFB3;OSM;BMP8B;TNFRSF10B;TNFRSF10A;EPOR;TNFRSF10D;IL4;BMP4;GH2;BMP2;IL5;IFNG;IL23A;LEP;IL2RB;FAS;PF4
Fluid shear stress and atherosclerosis	29/139	6.658548246657338E-9	9.765870761764095E-8	0	0	3.3569282948540606	63.202112128002724	SDC4;ITGA2B;MGST1;ACTG1;THBD;MAPK7;HMOX1;MAP3K7;MAP2K5;MAP3K5;MAP2K6;PIAS4;DUSP1;CAV1;CYBA;FOS;MAPK14;MMP9;ASS1;MAPK12;KLF2;MAPK13;VEGFA;BMP4;MAPK10;IFNG;BCL2;SQSTM1;TP53
Human T-cell leukemia virus 1 infection	38/219	7.776851787156003E-9	1.0887592502018405E-7	0	0	2.7918902934056287	52.13049449077809	ATF2;CD40;CDKN1A;CSF2;XIAP;ELK1;POLB;CCND2;TERT;CHEK1;E2F1;E2F2;PRKACA;HRAS;EGR1;CDKN2B;RANBP3;SMAD3;TBP;CDKN2A;TGFB3;FOS;NFATC4;FOSL1;CCNA2;MAPK10;CCNA1;CREB1;CCNE2;CCNE1;LCK;CDC16;CDK2;IL2RB;HLA-DPB1;ATM;TCF3;TP53
Bladder cancer	15/41	1.0026082676111621E-8	1.3426232453227736E-7	0	0	5.886623628907246	108.42028062693316	CDKN1A;CDKN2A;BRAF;THBS1;MMP9;TYMP;VEGFA;RASSF1;CDH1;ERBB2;E2F1;MDM2;E2F2;HRAS;TP53
DNA replication	14/36	1.2423800091793816E-8	1.594387678446873E-7	0	0	6.257262894431037	113.90503521231155	FEN1;RFC3;MCM7;LIG1;POLD4;POLA1;POLA2;POLD1;POLE3;MCM3;MCM4;MCM5;MCM6;MCM2
Chagas disease (American trypanosomiasis)	24/103	1.37125567937511E-8	1.6893869969901354E-7	0	0	3.7491505830710232	67.87819835669731	IL10;SMAD3;ACE;NOS2;TGFB3;IFNGR1;IFNB1;FOS;CFLAR;MAPK14;MAPK12;MAPK13;MAPK10;CASP8;PPP2R1B;IRAK1;IFNG;PPP2R2C;GNA11;PPP2R2D;GNAS;TLR9;FAS;TLR2
Tuberculosis	33/179	1.6181826410097777E-8	1.916924051657737E-7	0	0	2.9663321303208585	53.21415054421409	IFNA5;IFNA2;BCL10;TCIRG1;CYP27B1;CASP8;IRAK1;ITGAX;CTSD;IFNA21;HSPA9;IL10;CD74;ATP6V0B;APAF1;SYK;NOS2;TGFB3;IFNGR1;IFNB1;MAPK14;MAPK12;MAPK13;MAPK10;CREB1;IFNG;IL23A;BCL2;TLR9;HLA-DPB1;PIK3C3;CLEC4E;TLR2
Toxoplasmosis	25/113	2.105766110014345E-8	2.4021331921645125E-7	0	0	3.5597576516990728	62.9222812182938	CD40;LAMA4;XIAP;PIK3R5;CASP8;IRAK1;CCR5;MAP3K7;MAP2K6;IL10;NOS2;TGFB3;IFNGR1;TYK2;MAPK14;MAPK12;MAPK13;MAPK10;IFNG;BCL2;HLA-DPB1;BIRC7;NFKBIB;BIRC3;TLR2
RIG-I-like receptor signaling pathway	19/70	3.146690284788818E-8	3.4613593132676997E-7	0	0	4.367314101827376	75.4424230290563	IFNA5;IFNB1;IFNA2;MAPK14;TANK;MAPK12;MAPK13;MAPK10;MAVS;CASP8;TBK1;IRF3;TRAF3;IRF7;TRIM25;MAP3K7;ATG5;IFNA21;NFKBIB
Colorectal cancer	21/86	4.568713793236185E-8	4.852289132126707E-7	0	0	3.928979026735767	66.40543873807901	CDKN1A;TCF7L1;SMAD3;TGFB3;LEF1;TCF7;BRAF;AXIN2;FOS;AREG;BBC3;DDB2;GADD45G;MAPK10;MSH2;APC;BCL2;BIRC5;HRAS;TP53;RALGDS
Influenza A	31/171	6.529959476181475E-8	6.704091728879649E-7	0	0	2.916919544772363	48.258333705072936	IFNA5;ATF2;IFNA2;ACTG1;TBK1;TNFSF10;CASP1;TRIM25;MAP2K6;IFNA21;IVNS1ABP;IFNGR1;IFNB1;TNFRSF10B;TNFRSF10A;TYK2;MAPK14;PML;MAPK12;MAPK13;MAPK10;MAVS;HNRNPUL1;OAS1;IRF3;IFNG;IRF7;HLA-DPB1;FAS;IRF9;NFKBIB
Hepatocellular carcinoma	30/168	1.4974399860799073E-7	1.487779082943908E-6	0	0	2.873232961728537	45.1509558580262	CDKN1A;SMARCB1;TCF7;LEF1;MGST1;ELK1;ACTG1;IGF1R;TERT;E2F1;HMOX1;E2F2;BRD7;HRAS;FZD1;TCF7L1;SMAD3;PHF10;TGFB3;CDKN2A;TXNRD1;BRAF;AXIN2;SMARCA4;GADD45G;DDB2;CDK6;APC;TP53;MET
Human cytomegalovirus infection	36/225	1.6062590032138257E-7	1.5460242905933073E-6	0	0	2.574416733708769	40.27465879632881	IFNA5;ATF2;CDKN1A;IFNA2;ELK1;TBK1;CASP8;GNA11;E2F1;E2F2;PTK2B;PRKACA;CCR5;HRAS;MAP2K6;IFNA21;PDIA3;CDKN2A;IFNB1;TSC2;TSC1;MAPK14;MAPK12;NFATC4;VEGFA;MAPK13;CDK6;CREB1;IRF3;RHEB;GNB1;GNAS;GNB4;MDM2;FAS;TP53
Rap1 signaling pathway	34/206	1.6502832711756583E-7	1.5402643864306143E-6	0	0	2.655648329675308	41.473654854879975	CSF1;ITGA2B;FPR1;LPAR2;THBS1;ACTG1;IGF1R;FGF4;FGF7;CDH1;RALGDS;HRAS;MAP2K6;VASP;PDGFRB;NGFR;INSR;F2R;VEGFB;BRAF;VEGFD;MAPK14;PGF;MAPK12;VEGFA;MAPK13;AFDN;MRAS;ID1;FGF18;GNAS;MET;EPHA2;PFN2
Thyroid cancer	13/37	1.6963415560096548E-7	1.5366858801499226E-6	0	0	5.653279989563176	88.13249665421696	CDKN1A;TCF7L1;TCF7;LEF1;BRAF;GADD45G;DDB2;RXRB;CDH1;CCDC6;HRAS;RXRG;TP53
Melanoma	18/72	2.825569082844577E-7	2.486500792903228E-6	0	0	4.022526146419952	60.65722389940695	PDGFRB;CDKN1A;CDKN2A;BRAF;IGF1R;FGF4;DDB2;GADD45G;FGF7;CDK6;CDH1;FGF18;E2F1;MDM2;E2F2;HRAS;TP53;MET
Proteoglycans in cancer	33/201	2.8329744470526604E-7	2.423767026922832E-6	0	0	2.641658961828028	39.82768049108192	CD63;CDKN1A;SDC4;TWIST1;ELK1;HIF1A;THBS1;ACTG1;IGF1R;SHH;ERBB2;TIMP3;PRKACA;HRAS;FZD1;CAV1;MSN;BRAF;MAPK14;MMP9;MAPK12;VEGFA;MAPK13;MRAS;CTTN;MDM2;FAS;PTPN6;HPSE;TP53;MET;CD44;TLR2
Viral carcinogenesis	33/201	2.8329744470526604E-7	2.3582598099789716E-6	0	0	2.641658961828028	39.82768049108192	ATF2;CDKN1A;HDAC1;GTF2B;RBPJ;POLB;CCND2;CASP8;CHEK1;PRKACA;CCR5;HRAS;LYN;CDKN2B;USP7;TBP;SYK;CDKN2A;DDB1;CCNA2;CCNA1;CDK6;CREB1;RBL1;CCNE2;IRF3;CCNE1;TRAF3;CDK2;MDM2;IRF7;TP53;IRF9
Fructose and mannose metabolism	12/33	3.292833490353502E-7	2.6689281974444175E-6	0	0	5.850947122065385	87.3332682721842	PFKFB1;PFKFB4;PFKFB3;AKR1B10;FPGT;PMM2;AKR1B1;ALDOC;FBP1;FBP2;KHK;HK1
Breast cancer	27/147	3.451692430219322E-7	2.7259519705321826E-6	0	0	2.955325332063638	43.972968238936545	CDKN1A;TCF7;LEF1;BRCA1;BRCA2;IGF1R;FGF4;FGF7;ERBB2;E2F1;E2F2;HES1;HRAS;FZD1;JAG2;NCOA1;TCF7L1;NCOA3;BRAF;AXIN2;FOS;GADD45G;DDB2;CDK6;APC;FGF18;TP53
Prostate cancer	21/97	4.1152640506078257E-7	3.1687533189680256E-6	0	0	3.483424704116247	51.218161195027236	PDGFRB;CDKN1A;TCF7L1;TCF7;LEF1;KLK3;BRAF;MMP9;IGF1R;CREB1;CCNE2;CCNE1;CDK2;ERBB2;MDM2;BCL2;E2F1;E2F2;TP53;HRAS;NKX3-1
Leishmaniasis	18/74	4.4014135749757566E-7	3.3064277587622758E-6	0	0	3.9138092235437374	57.28317673079703	IL10;NOS2;IFNGR1;TGFB3;CYBA;FOS;MAPK14;ELK1;MAPK12;MAPK13;IL4;IFNG;IRAK1;HLA-DPB1;PTPN6;MAP3K7;TLR2;NFKBIB
Th17 cell differentiation	22/107	5.654765830771778E-7	4.146828275899304E-6	0	0	3.308245802663138	47.59109073354853	SMAD3;IFNGR1;GATA3;TYK2;FOS;MAPK14;HIF1A;MAPK12;MAPK13;IL4;RXRB;MAPK10;IFNG;IL23A;LCK;IL2RB;RARA;HLA-DPB1;STAT6;IL12RB1;RXRG;NFKBIB
Human immunodeficiency virus 1 infection	33/212	9.862751159681206E-7	7.064482226004213E-6	0	0	2.504591751544498	34.63682709713611	IFNA5;IFNA2;TBK1;CASP8;IRAK1;GNA11;CHEK1;PTK2B;CCR5;HRAS;MAP3K7;SKP1;MAP2K6;IFNA21;PDIA3;IFNB1;AP1B1;FOS;CDC25C;MAPK14;MAPK12;NFATC4;MAPK13;DDB1;MAPK10;WEE1;IRF3;GNB1;GNB4;BCL2;FAS;ATM;TLR2
Cushing syndrome	27/155	1.026897976802262E-6	7.188285837615835E-6	0	0	2.8027924116990635	38.6476147997274	ATF2;CDKN1A;FH;TCF7;LEF1;CACNA1C;CACNA1H;CYP11A1;GNA11;E2F1;E2F2;PRKACA;PDE8A;MEN1;FZD1;TCF7L1;CDKN2B;CDKN2A;BRAF;AXIN2;CDK6;CREB1;CCNE2;APC;CCNE1;CDK2;GNAS
Insulin signaling pathway	25/137	1.053347103126299E-6	7.209575728064446E-6	0	0	2.936150471839381	40.41181784865539	ELK1;PRKAG3;HK1;SOCS2;RPTOR;MKNK1;FLOT2;PRKACA;PCK1;HRAS;PCK2;PTPN1;PKLR;INSR;TSC2;TSC1;BRAF;PRKAB1;MAPK10;G6PC2;PPP1R3C;RHEB;EIF4E2;FBP1;FBP2
Toll-like receptor signaling pathway	21/104	1.3872678617390272E-6	9.288663074252616E-6	0	0	3.2489634259545768	43.82258502316613	IFNA5;CD40;IFNB1;CD80;IFNA2;FOS;MAPK14;MAPK12;MAPK13;MAPK10;TBK1;CASP8;IRAK1;IRF3;TRAF3;TLR9;IRF7;MAP3K7;MAP2K6;IFNA21;TLR2
NOD-like receptor signaling pathway	29/178	1.720742404432883E-6	1.127635448011336E-5	0	0	2.6214215336219913	34.79348505912926	IFNA5;IFNA2;XIAP;NOD1;NLRC4;MEFV;TANK;TBK1;CASP8;CASP1;MAP3K7;ATG5;IFNA21;IFNB1;CYBA;TYK2;MAPK14;MAPK12;MAPK13;MAPK10;MAVS;OAS1;IRF3;TRAF3;BCL2;IRF7;IRF9;NFKBIB;BIRC3
Parathyroid hormone synthesis, secretion and action	21/106	1.919637233099E-6	1.2317672245718584E-5	0	0	3.1876622292384527	41.96039116384279	ATF2;EGR1;CDKN1A;JUND;PDE4C;BRAF;GATA3;FOS;RUNX2;RXRB;CYP27B1;MMP14;CREB1;MMP13;NACA;BGLAP;GNA11;GNAS;BCL2;PRKACA;RXRG
Non-small cell lung cancer	16/66	2.0013830171948486E-6	1.258012182236762E-5	0	0	3.9006314147102565	51.182806437168374	CDKN1A;CDKN2A;BRAF;FHIT;DDB2;GADD45G;RXRB;RASSF1;CDK6;ERBB2;E2F1;RARB;E2F2;HRAS;TP53;RXRG
Necroptosis	27/162	2.4829682516718415E-6	1.5295084430298543E-5	0	0	2.681684097613301	34.60996470313206	IFNA5;IFNA2;VPS4A;SPATA2;XIAP;HMGB1;CASP8;CHMP1A;TNFSF10;CASP1;STAT6;IFNA21;ZBP1;PARP1;IFNGR1;IFNB1;TNFRSF10B;TNFRSF10A;TYK2;CFLAR;MAPK10;IFNG;BCL2;FAS;SQSTM1;IRF9;BIRC3
Pancreatic cancer	17/75	2.6296289828549617E-6	1.588089660233977E-5	0	0	3.6470903727540898	46.860252610142346	CDKN1A;SMAD3;TGFB3;CDKN2A;BRAF;BRCA2;DDB2;VEGFA;GADD45G;MAPK10;CDK6;RAD51;ERBB2;E2F1;E2F2;TP53;RALGDS
Base excision repair	11/33	2.7747728907998263E-6	1.6435193276275895E-5	0	0	5.363368195226602	68.62398313364582	POLB;POLD4;FEN1;LIG1;PARP1;MPG;NTHL1;POLD1;POLE3;HMGB1;UNG
Th1 and Th2 cell differentiation	19/92	3.0670551186862435E-6	1.782364106708232E-5	0	0	3.3229563818251777	42.184242423272266	JAG2;IFNGR1;TYK2;FOS;GATA3;RBPJ;MAPK14;MAPK12;MAPK13;IL4;MAPK10;IL5;IFNG;LCK;IL2RB;HLA-DPB1;STAT6;IL12RB1;NFKBIB
TNF signaling pathway	21/110	3.577088892570995E-6	2.0402655165034562E-5	0	0	3.0717472390843272	38.5226630854569	ATF2;CSF2;CSF1;IFNB1;FOS;CFLAR;MAPK14;MMP9;MAPK12;MAPK13;MAPK10;MMP14;CASP8;CREB1;TRAF3;BCL3;FAS;MAP3K7;MAP3K5;MAP2K6;BIRC3
IL-17 signaling pathway	19/93	3.6326013921502735E-6	2.0342567796041534E-5	0	0	3.2872256680421112	41.174347366062015	CSF2;JUND;FOS;MAPK14;MMP9;MAPK12;MAPK13;IL4;MAPK10;FOSL1;CASP8;TBK1;MMP13;MAPK7;IL5;IFNG;TRAF3;MAP3K7;CCL17
Homologous recombination	12/41	4.608525139523997E-6	2.5346888267381986E-5	0	0	4.709298903125797	57.865993815875576	BARD1;RAD51B;RAD52;POLD4;RAD51;POLD1;RBBP8;RAD54L;ATM;BRCA1;TOPBP1;BRCA2
Basal cell carcinoma	15/63	5.291746796236125E-6	2.8594000232293447E-5	0	0	3.830977282304716	46.54393042704851	FZD1;CDKN1A;TCF7L1;LEF1;TCF7;AXIN2;GLI1;GLI3;DDB2;GADD45G;BMP4;SHH;BMP2;APC;TP53
Malaria	13/49	6.211644088428059E-6	3.298597205579038E-5	0	0	4.2688032574252555	51.17904488178796	IL10;CD40;GYPC;TGFB3;HBB;HBA2;HBA1;THBS1;KLRK1;IFNG;TLR9;MET;TLR2
Platelet activation	22/124	7.381814356936302E-6	3.8535573253158995E-5	0	0	2.8546959748786755	33.73248958533877	VASP;LYN;FGA;PTGIR;SYK;VWF;GP1BB;ITGA2B;F2R;GP1BA;GP6;MAPK14;RASGRP1;MAPK12;ACTG1;PIK3R5;PTGS1;MAPK13;GP9;GNAS;PRKG2;PRKACA
TGF-beta signaling pathway	18/90	8.901632902160913E-6	4.569504889775935E-5	0	0	3.2180209171359615	37.423252858896944	CDKN2B;SMAD3;TGFB3;FST;BMP8B;THBS1;BMP4;BMP2;RBL1;ZFYVE16;TFDP1;PPP2R1B;IFNG;ID1;E2F4;AMH;HAMP;SKP1
Endometrial cancer	14/58	9.14662989541877E-6	4.618298373424559E-5	0	0	3.88381834826754	45.060546202313986	CDKN1A;TCF7L1;LEF1;TCF7;BRAF;AXIN2;ELK1;DDB2;GADD45G;APC;CDH1;ERBB2;HRAS;TP53
MicroRNAs in cancer	39/299	9.439000414123763E-6	4.689051818629224E-5	0	0	2.0987092937843226	24.283452667279953	CDKN1A;DNMT1;HDAC1;BRCA1;THBS1;RPTOR;RASSF1;CCND2;MAPK7;STMN1;ERBB2;E2F1;IGF2BP1;HMOX1;TIMP3;E2F2;HRAS;PDGFRB;CDKN2A;PRKCE;DNMT3A;DICER1;CDC25C;MMP9;CDC25A;VEGFA;CDC25B;CDK6;CCNE2;APC;CCNE1;MDM2;BCL2;ATM;TP53;MET;RECK;CD44;EZH2
